Id,SalePrice
1461,134927.86
1462,158966.1
1463,176953.98
1464,189420.69
1465,206706.73
1466,181809.78
1467,175172.95
1468,172766.69
1469,174548.9
1470,128106.6
1471,194829.31
1472,105010.69
1473,100623.414
1474,153339.2
1475,123744.34
1476,475635.72
1477,254227.25
1478,306875.12
1479,221808.38
1480,521195.06
1481,325211.2
1482,204134.83
1483,172778.34
1484,166901.67
1485,172126.22
1486,186551.86
1487,347531.06
1488,220157.53
1489,213557.5
1490,205365.23
1491,186040.88
1492,96912.586
1493,189188.33
1494,306290.9
1495,284669.78
1496,238646.11
1497,181622.06
1498,158508.53
1499,157022.06
1500,156146.52
1501,179028.31
1502,157373.94
1503,290651.84
1504,228685.61
1505,225645.1
1506,190643.11
1507,233899.34
1508,203280.25
1509,163582.05
1510,147766.69
1511,143740.33
1512,164146.17
1513,157555.6
1514,161107.36
1515,176070.42
1516,156377.19
1517,159217.62
1518,125806.39
1519,224362.97
1520,138066.48
1521,141108.52
1522,166610.22
1523,114532.27
1524,127314.02
1525,130301.75
1526,121824.86
1527,102991.19
1528,124962.0
1529,146460.17
1530,180399.56
1531,113673.984
1532,102139.92
1533,143100.25
1534,113586.836
1535,156979.7
1536,113952.36
1537,62955.34
1538,183350.47
1539,153162.12
1540,89374.99
1541,145026.83
1542,145094.45
1543,232209.89
1544,90640.01
1545,107223.55
1546,127866.01
1547,138674.66
1548,140591.53
1549,118306.4
1550,140057.61
1551,109801.95
1552,137307.52
1553,148661.03
1554,117887.67
1555,168248.53
1556,78821.555
1557,110667.484
1558,105234.95
1559,98260.44
1560,131879.86
1561,130663.58
1562,128903.56
1563,118461.945
1564,150067.25
1565,156982.47
1566,225870.9
1567,78320.77
1568,226105.17
1569,142911.7
1570,133285.25
1571,132338.92
1572,145722.19
1573,261112.66
1574,96938.234
1575,204183.11
1576,227880.38
1577,208770.53
1578,153450.98
1579,146409.67
1580,185971.64
1581,144238.38
1582,128038.38
1583,363637.72
1584,233877.03
1585,140679.16
1586,73820.85
1587,103316.984
1588,151232.77
1589,95711.234
1590,127895.44
1591,94073.17
1592,125375.17
1593,125674.05
1594,141312.1
1595,107074.984
1596,241807.61
1597,180102.77
1598,203291.7
1599,197694.67
1600,196031.2
1601,66199.42
1602,113963.336
1603,95019.15
1604,354692.84
1605,245522.22
1606,175531.86
1607,176996.11
1608,210806.31
1609,198060.0
1610,166093.78
1611,152349.39
1612,164990.58
1613,159446.84
1614,122394.33
1615,87775.01
1616,71563.23
1617,83865.49
1618,129840.11
1619,139680.95
1620,155578.36
1621,143480.17
1622,152121.66
1623,292727.38
1624,217702.1
1625,122535.555
1626,166206.67
1627,186636.23
1628,252832.48
1629,184140.89
1630,399526.7
1631,222126.6
1632,244323.55
1633,173606.56
1634,180720.73
1635,186782.23
1636,158195.7
1637,187683.11
1638,217016.1
1639,177979.05
1640,256847.27
1641,178736.66
1642,228626.94
1643,223767.27
1644,228133.84
1645,183920.97
1646,153802.36
1647,153021.88
1648,130662.445
1649,140289.44
1650,121868.53
1651,128416.14
1652,100137.71
1653,99224.76
1654,151247.47
1655,154161.58
1656,145483.27
1657,154293.78
1658,145107.86
1659,137811.9
1660,153320.25
1661,515372.8
1662,352258.75
1663,351575.78
1664,494804.28
1665,311233.72
1666,298230.22
1667,355106.94
1668,331419.03
1669,281136.78
1670,331052.22
1671,275950.34
1672,486101.38
1673,329066.53
1674,254521.3
1675,188560.6
1676,191708.58
1677,220249.55
1678,469878.62
1679,340813.97
1680,329355.03
1681,267159.3
1682,307784.44
1683,185682.38
1684,168120.25
1685,176573.52
1686,167506.62
1687,169424.36
1688,183855.31
1689,183266.08
1690,192281.7
1691,180689.38
1692,265643.72
1693,166954.12
1694,191232.66
1695,168725.25
1696,262865.84
1697,170491.4
1698,381237.5
1699,377286.7
1700,249571.67
1701,258425.08
1702,253274.61
1703,242632.23
1704,285802.94
1705,212754.0
1706,523474.5
1707,233137.55
1708,232687.89
1709,276420.47
1710,233742.89
1711,271907.84
1712,233349.4
1713,258106.14
1714,230029.66
1715,207259.97
1716,177793.61
1717,164379.42
1718,128785.92
1719,202619.94
1720,265796.34
1721,162306.83
1722,120920.914
1723,154351.31
1724,222214.8
1725,234686.83
1726,186131.23
1727,160483.44
1728,176504.9
1729,167375.02
1730,173947.42
1731,121851.12
1732,127735.555
1733,125921.95
1734,107946.54
1735,127667.18
1736,116859.24
1737,388935.25
1738,218655.75
1739,232402.12
1740,207269.45
1741,192677.73
1742,177574.9
1743,176101.08
1744,310464.38
1745,239031.61
1746,227660.8
1747,232120.84
1748,221476.81
1749,154511.38
1750,135807.38
1751,247487.45
1752,119937.14
1753,134717.03
1754,196633.39
1755,166803.3
1756,136199.36
1757,123949.47
1758,143182.83
1759,173190.58
1760,166995.83
1761,144680.3
1762,182556.66
1763,171350.1
1764,113278.414
1765,152846.2
1766,166520.27
1767,218775.39
1768,137840.69
1769,156190.78
1770,148105.12
1771,132991.25
1772,137113.22
1773,140506.69
1774,125436.625
1775,137909.3
1776,130598.12
1777,114189.414
1778,137933.27
1779,122987.2
1780,181325.72
1781,127773.586
1782,93704.12
1783,129894.26
1784,94683.734
1785,116873.43
1786,147100.38
1787,186631.88
1788,54902.4
1789,91765.06
1790,80586.85
1791,177312.88
1792,162201.03
1793,127175.66
1794,153674.97
1795,134446.5
1796,127674.836
1797,119573.96
1798,130717.35
1799,118616.26
1800,136671.4
1801,126786.07
1802,139947.3
1803,146129.42
1804,145671.23
1805,134194.61
1806,119029.01
1807,128448.86
1808,112202.44
1809,118476.914
1810,155635.78
1811,102210.75
1812,103967.11
1813,126531.97
1814,97775.08
1815,67173.98
1816,98327.64
1817,120344.195
1818,124648.58
1819,121238.9
1820,61785.13
1821,125812.49
1822,149234.23
1823,41865.902
1824,145836.34
1825,131803.66
1826,101626.91
1827,100588.07
1828,138542.98
1829,100225.03
1830,148919.36
1831,153499.64
1832,92391.32
1833,127746.05
1834,151607.47
1835,141907.17
1836,139729.86
1837,91356.625
1838,123739.68
1839,82788.18
1840,179144.7
1841,153093.81
1842,81299.88
1843,131809.67
1844,147670.78
1845,127844.016
1846,152620.31
1847,142516.83
1848,49313.49
1849,117424.016
1850,123884.66
1851,162065.11
1852,126839.39
1853,125311.38
1854,169934.98
1855,147475.98
1856,230982.88
1857,163194.95
1858,139711.0
1859,119741.43
1860,154847.97
1861,119793.52
1862,263357.56
1863,256960.39
1864,256954.86
1865,299231.9
1866,343463.84
1867,244048.3
1868,292330.44
1869,198276.89
1870,265848.75
1871,260334.94
1872,170908.23
1873,234402.81
1874,138940.73
1875,195847.25
1876,187430.27
1877,213201.4
1878,204039.02
1879,134054.72
1880,136592.97
1881,254390.86
1882,234677.45
1883,194451.9
1884,209571.2
1885,246227.48
1886,313080.3
1887,198546.3
1888,268326.72
1889,164609.06
1890,128040.27
1891,145207.22
1892,103335.93
1893,127885.64
